Time(Iteration),LinUCB
0,1.12330844962
1,2.38956785414
2,4.29639659656
3,5.38431054801
4,7.1466241171
5,8.73086545958
6,9.68864627148
7,10.7710113007
8,11.482785538
9,12.3926335466
10,13.5466397517
11,14.3935168249
12,15.0469460742
13,15.5803629453
14,15.6776625559
15,16.0809881625
16,16.1591110782
17,16.3230635128
18,16.5062031981
19,16.8785978306
20,17.0323505712
21,17.1331353442
22,17.3386407596
23,17.6402949243
24,17.7603544363
25,18.2108687559
26,18.334467399
27,18.5135011121
28,19.0023025238
29,19.1100012852
30,19.2065798857
31,19.4718910273
32,19.5177249717
33,19.667435531
34,19.8466518088
35,19.9273338823
36,20.0882061326
37,20.1478966432
38,20.3104354851
39,20.5113916577
40,20.5113916577
41,20.6370280055
42,20.8580083671
43,20.9285524334
44,21.1444082538
45,21.1782239431
46,21.2225205828
47,21.3122643843
48,21.4708765377
49,21.6100754796
50,21.7332691728
51,21.7474345951
52,21.9946234291
53,22.0360055935
54,22.0753058456
55,22.1530564006
56,22.2261131349
57,22.3350334278
58,22.3396741659
59,22.6060645075
60,22.6060645075
61,22.626540923
62,22.626540923
63,22.626540923
64,22.6850355244
65,22.7718097347
66,22.8303082567
67,22.8351340465
68,22.8732661914
69,23.0753560919
70,23.1104365451
71,23.1169825323
72,23.2821914504
73,23.3326167347
74,23.3326167347
75,23.3764313159
76,23.4257800063
77,23.4286378361
78,23.4530309822
79,23.4540499456
80,23.4540499456
81,23.4869792565
82,23.5527458927
83,23.5823197526
84,23.6096909617
85,23.6365068139
86,23.7399540705
87,23.7399540705
88,23.8163462094
89,23.8319680617
90,23.8319680617
91,23.9401177832
92,23.9771828645
93,23.9827454036
94,24.0748641975
95,24.1915756899
96,24.2738937913
97,24.3766959505
98,24.4440091325
99,24.4440091325
