Time(Iteration),LinUCB
0,2.54628752556
1,4.44680500201
2,7.22960293257
3,8.53142863435
4,9.07265385328
5,10.141800886
6,11.805366151
7,12.2882021569
8,13.2038290001
9,13.8146289966
10,14.4911811087
11,15.0440220049
12,15.4722032556
13,15.7123942959
14,15.8887541509
15,16.4258365669
16,16.6988512018
17,16.985573173
18,17.1034299058
19,17.7034082137
20,17.9161788435
21,18.2391702367
22,18.4795600775
23,18.6059557453
24,18.8573557319
25,18.9134232453
26,19.1268268792
27,19.1824166213
28,19.3617815391
29,19.5751167611
30,19.7089525483
31,19.974526235
32,20.2299251951
33,20.3123703011
34,20.3754254084
35,20.4377257678
36,20.4565637588
37,20.5229715846
38,20.5229715846
39,20.5660980386
40,20.6386953975
41,20.7124709018
42,20.7617646191
43,20.969605687
44,21.0403743265
45,21.1715565782
46,21.2812738359
47,21.2812738359
48,21.4956756956
49,22.1152102619
50,22.2002982757
51,22.2487833594
52,22.3350653298
53,22.3439168218
54,22.4053883547
55,22.4053883547
56,22.44114482
57,22.4806292399
58,22.5850731483
59,22.6970386136
60,22.814540393
61,22.8532003011
62,22.9117997085
63,22.9894923766
64,23.1249155322
65,23.1318523219
66,23.2157859276
67,23.3306465392
68,23.4579160344
69,23.4579160344
70,23.6196018549
71,23.6196018549
72,23.687037513
73,23.8051939553
74,23.8086736155
75,23.9413105396
76,23.9812730898
77,24.0251919608
78,24.0251919608
79,24.0412033294
80,24.0771561413
81,24.1575975438
82,24.1575975438
83,24.1682486419
84,24.211280557
85,24.211280557
86,24.2386785869
87,24.3121424996
88,24.3198821695
89,24.3635112858
90,24.4104796443
91,24.4365514814
92,24.5058324272
93,24.6009122485
94,24.6188416192
95,24.7241362051
96,24.727837106
97,24.7370174795
98,24.7370174795
99,24.7433875354
