Time(Iteration),LinUCB
0,1.2561699451
1,2.28204989296
2,3.27400632936
3,4.64176887195
4,5.98692112343
5,7.06283553076
6,8.21189778924
7,8.88714404305
8,9.97892068425
9,10.9656191142
10,12.1288923929
11,12.7013410974
12,12.9762948428
13,13.4754775374
14,14.1590103849
15,14.4876596608
16,14.8702061877
17,15.3400802518
18,16.1772184829
19,16.6578400709
20,16.9242901052
21,17.2374719318
22,17.6651617928
23,18.0600106285
24,18.1206717295
25,18.472505784
26,18.6410844359
27,18.9920688325
28,19.0807373278
29,19.190518442
30,19.2621892703
31,19.6215838115
32,19.8346272193
33,20.0599296731
34,20.2075623494
35,20.2463711165
36,20.3284654321
37,20.6444529529
38,20.7028167052
39,20.7924003795
40,21.1955654059
41,21.2259716895
42,21.2990797628
43,21.3984420294
44,21.5515125151
45,21.8291252693
46,21.9597601839
47,22.0766561735
48,22.1403937981
49,22.1733971409
50,22.1733971409
51,22.298019425
52,22.3340331669
53,22.3500434257
54,22.4993538657
55,22.5396181035
56,22.5644471256
57,22.5644471256
58,22.6749896213
59,22.8576155653
60,22.9268370868
61,22.9715417989
62,22.9794817086
63,23.287930383
64,23.287930383
65,23.287930383
66,23.287930383
67,23.2924256542
68,23.4312980456
69,23.5145134064
70,23.5452403274
71,23.5600390322
72,23.8033692748
73,23.8365674968
74,23.884035855
75,23.9523508297
76,24.2715449184
77,24.3110031764
78,24.4509266569
79,24.5417984447
80,24.5896339752
81,24.6425934014
82,24.6749347912
83,24.7532729283
84,24.863382126
85,24.9841700941
86,25.1218276244
87,25.2103615845
88,25.2103615845
89,25.303602195
90,25.466228465
91,25.5493439233
92,25.5723839781
93,25.750081386
94,25.7805228383
95,25.7805228383
96,25.9575324673
97,26.004650586
98,26.0293005219
99,26.0406126741
