Time(Iteration),CLUB
0,1.3366070289
1,3.18988898
2,4.41175478049
3,5.3429662363
4,6.93113845799
5,7.56331718838
6,8.77027340453
7,9.55182741913
8,10.6864383171
9,12.1449828145
10,13.351708168
11,14.4933854288
12,15.7380100896
13,17.1189108343
14,18.8235826298
15,19.5492763702
16,20.3551409417
17,21.2681072835
18,21.8061745943
19,22.2078584211
20,22.5438101552
21,22.9290270395
22,23.3438706293
23,23.9922152129
24,24.5441631798
25,24.952536712
26,25.8516066338
27,26.0086168875
28,26.372459205
29,27.0283877529
30,27.6766177661
31,28.2453000868
32,28.9950619498
33,29.4928241667
34,30.3139013395
35,30.571806565
36,30.6807739453
37,30.8051483902
38,30.954349017
39,31.1819856927
40,31.5113383055
41,31.6286087491
42,32.2209004886
43,32.4390159358
44,32.6240051184
45,32.7202424172
46,33.1820716881
47,33.5793191791
48,33.7276425056
49,33.9173921032
50,34.141176063
51,34.5120459826
52,34.5967865951
53,34.624843602
54,34.7059052663
55,35.0641578859
56,35.1517554338
57,35.3169689394
58,35.4585487827
59,35.6850210954
60,35.7724030384
61,36.0135878486
62,36.2334877779
63,36.2999914008
64,36.4384292209
65,36.4513813148
66,36.6566067516
67,36.8682084312
68,37.2243156916
69,37.4664413838
70,37.5287014541
71,37.7202788982
72,37.7801464264
73,37.9796483709
74,38.0893415647
75,38.2193419196
76,38.5334745754
77,38.6507038161
78,38.900556074
79,39.1524505254
80,39.2976209422
81,39.4144789439
82,39.651420042
83,39.852506694
84,39.8939157499
85,40.0098662701
86,40.1155846245
87,40.3049122715
88,40.4111407482
89,40.4111407482
90,40.5215229624
91,40.7803376705
92,40.8045718954
93,40.965195407
94,41.2526832232
95,41.4178152212
96,41.5958889625
97,41.8010327126
98,41.8151123482
99,41.9731652938
