Time(Iteration),LinUCB
0,2.0289086378
1,4.17412496189
2,5.78203259917
3,7.06467225401
4,7.9637538056
5,8.73959460399
6,9.2656613324
7,10.2886339827
8,11.3163763384
9,12.4008460134
10,13.519681607
11,13.7050839764
12,14.1801932863
13,15.1854916793
14,16.0934242912
15,16.4299730694
16,16.5302144258
17,17.1043796227
18,17.1303991087
19,17.621539536
20,18.2131609542
21,18.4185474682
22,19.0036089093
23,19.1077967704
24,19.2371803525
25,19.4106213105
26,19.8044225204
27,19.9201724691
28,19.9201724691
29,19.9748885308
30,20.7482603916
31,21.2607862543
32,21.3815807942
33,21.4685654755
34,21.7893718499
35,21.9819629238
36,22.3809580691
37,22.5460142541
38,22.7076829346
39,22.8814903958
40,23.1007387186
41,23.1758165705
42,23.3146134917
43,23.4032055591
44,23.4677139252
45,23.5755805663
46,23.5944746164
47,23.6770572394
48,23.6770572394
49,23.7001684316
50,23.8337409494
51,23.8337409494
52,23.9717054753
53,24.052038618
54,24.408346071
55,24.4750041328
56,24.4750041328
57,24.657049042
58,24.657049042
59,24.7079922973
60,24.7260631643
61,24.8071155292
62,24.9251519898
63,25.1047968821
64,25.2913793635
65,25.3026257016
66,25.4667465305
67,25.7054609523
68,25.7054609523
69,25.7054609523
70,25.7803883693
71,25.9588284643
72,26.2984227568
73,26.3527125125
74,26.3802350989
75,26.5065436468
76,26.6342805197
77,26.7314830175
78,26.7314830175
79,26.7677908781
80,26.9247973419
81,26.9428347153
82,26.959754992
83,26.959754992
84,27.0433087306
85,27.0433087306
86,27.0802529101
87,27.0802529101
88,27.0912482124
89,27.0912482124
90,27.1231468338
91,27.1231468338
92,27.2092376364
93,27.3506775586
94,27.3506775586
95,27.4026687942
96,27.5368305208
97,27.5854759763
98,27.6182101026
99,27.6182101026
100,27.6383694019
101,27.6743291821
102,27.6768313856
103,27.6768313856
104,27.7879037367
105,27.8086519352
106,27.8922914649
107,28.1868284965
108,28.2185821204
109,28.2185821204
110,28.4066686536
111,28.4066686536
112,28.4066686536
113,28.4641810525
114,28.5773064374
115,28.6642145535
116,28.7080639102
117,28.7080639102
118,28.8836304242
119,28.9164580788
120,29.0705605378
121,29.0705605378
122,29.0972432168
123,29.1399037249
124,29.1780481566
125,29.2015313793
126,29.2015313793
127,29.2045685088
128,29.2735388987
129,29.3193566612
130,29.3287725275
131,29.3287725275
132,29.3287725275
133,29.3287725275
134,29.3488137003
135,29.3488137003
136,29.3529061792
137,29.3529061792
138,29.4240445966
139,29.4386043959
140,29.4386043959
141,29.4386043959
142,29.4387588763
143,29.4466021729
144,29.4493069735
145,29.450877676
146,29.450877676
147,29.4788033619
