Time(Iteration),LinUCB
0,1.40377059019
1,2.9082589207
2,4.05051866022
3,4.82637340648
4,5.93526849163
5,6.95264969306
6,8.04789956826
7,9.19366758416
8,9.91518766794
9,10.7406249897
10,11.6136606148
11,12.5469891673
12,12.9457244952
13,13.3874078841
14,13.6005902001
15,14.5471720703
16,15.3129123406
17,15.6860949672
18,16.3329678282
19,17.1554995506
20,17.6415774473
21,17.8645403331
22,18.136073434
23,18.4123756447
24,18.7134821394
25,18.9444191332
26,19.1240320992
27,19.3298705947
28,19.8293825609
29,20.1426881741
30,20.2383621124
31,20.697197593
32,20.7989979991
33,21.1259354517
34,21.3166053325
35,21.4785377245
36,21.5148547689
37,21.6742851272
38,21.7104895385
39,21.7333516855
40,22.0071911001
41,22.1587016128
42,22.3960406274
43,22.5236035246
44,22.5483528168
45,22.7261659504
46,23.1387392224
47,23.373751905
48,23.7686585348
49,23.8868055621
50,23.9527191706
51,24.1743957668
52,24.1860847186
53,24.2064685594
54,24.3030252284
55,24.329408161
56,24.4798552441
57,24.6440900772
58,24.7466207774
59,24.75898283
60,24.7958456334
61,24.8006397997
62,24.8407877905
63,24.9117727527
64,24.9553762474
65,24.9553762474
66,25.1113198802
67,25.1443061658
68,25.3735580111
69,25.5365861917
70,25.5477928081
71,25.7286637591
72,25.7621949789
73,25.8602766809
74,25.8853767265
75,26.0824534724
76,26.1653744656
77,26.2133738749
78,26.3485003111
79,26.3485003111
80,26.4568516233
81,26.503056683
82,26.5888309974
83,26.5888309974
84,26.5940333595
85,26.613299946
86,26.613299946
87,26.6154632549
88,26.7279550864
89,26.7428372582
90,26.8694756782
91,26.9297237006
92,26.9856428169
93,26.9856428169
94,27.01439593
95,27.0388655468
96,27.0474555481
97,27.0998819075
98,27.2214697399
99,27.2752095433
