Time(Iteration),LinUCBCoTheta,,,,,,
0,0.745857670119,,,,,,
1,0.728384474217,,,,,,
2,0.698940977382,,,,,,
3,0.670079658441,,,,,,
4,0.643619837964,,,,,,
5,0.629724589028,,,,,,
6,0.579209722967,,,,,,
7,0.563378087497,,,,,,
8,0.544234927207,,,,,,
9,0.504943556617,,,,,,
10,0.490257233005,,,,,,
11,0.456780900802,,,,,,
12,0.432180022338,,,,,,
13,0.40099142968,,,,,,
14,0.376300275882,,,,,,
15,0.35533900425,,,,,,
16,0.33496086513,,,,,,
17,0.300611711546,,,,,,
18,0.294956228628,,,,,,
19,0.287836762019,,,,,,
20,0.279813104705,,,,,,
21,0.266425644927,,,,,,
22,0.256910718341,,,,,,
23,0.245047698404,,,,,,
24,0.230704461698,,,,,,
25,0.218427776124,,,,,,
26,0.204775715225,,,,,,
27,0.203384208829,,,,,,
28,0.1966099504,,,,,,
29,0.191338071858,,,,,,
30,0.186011036993,,,,,,
31,0.174474968372,,,,,,
32,0.16863579562,,,,,,
33,0.16554843621,,,,,,
34,0.156947361616,,,,,,
35,0.151911591446,,,,,,
36,0.14789693478,,,,,,
37,0.143382739015,,,,,,
38,0.139741497984,,,,,,
39,0.138713025826,,,,,,
40,0.134197626064,,,,,,
41,0.132816975673,,,,,,
42,0.132310478187,,,,,,
43,0.131675513563,,,,,,
44,0.125740082685,,,,,,
45,0.124871470394,,,,,,
46,0.122250576592,,,,,,
47,0.12047196536,,,,,,
48,0.119236881237,,,,,,
49,0.116051027492,,,,,,
50,0.113892109709,,,,,,
51,0.110629384247,,,,,,
52,0.110157224887,,,,,,
53,0.107734212139,,,,,,
54,0.107327380957,,,,,,
55,0.104580653683,,,,,,
56,0.103174121455,,,,,,
57,0.1006496016,,,,,,
58,0.0983714250432,,,,,,
59,0.0965669515918,,,,,,
60,0.095467351828,,,,,,
61,0.0951406131439,,,,,,
62,0.0932184582559,,,,,,
63,0.0913797374103,,,,,,
64,0.0907718527501,,,,,,
65,0.0896029952831,,,,,,
66,0.0890128815955,,,,,,
67,0.0865551947962,,,,,,
68,0.0848302870062,,,,,,
69,0.083919995655,,,,,,
70,0.081977763973,,,,,,
71,0.0811985541978,,,,,,
72,0.0798837178629,,,,,,
73,0.0779401414025,,,,,,
74,0.0780756787177,,,,,,
75,0.0768907836816,,,,,,
76,0.0766775008212,,,,,,
77,0.0761155737854,,,,,,
78,0.0751747074329,,,,,,
79,0.0743036152576,,,,,,
80,0.0724901738512,,,,,,
81,0.0719330205823,,,,,,
82,0.0708913877735,,,,,,
83,0.0709311899607,,,,,,
84,0.0697216259686,,,,,,
85,0.0694506883902,,,,,,
86,0.0688912638746,,,,,,
87,0.0685210321674,,,,,,
88,0.0683475927733,,,,,,
89,0.0677176074847,,,,,,
90,0.0670206662376,,,,,,
91,0.0666670203183,,,,,,
92,0.066511654152,,,,,,
93,0.0659367067701,,,,,,
94,0.0653358368324,,,,,,
95,0.0645050825269,,,,,,
96,0.064214729672,,,,,,
97,0.0640406370793,,,,,,
98,0.0638361503874,,,,,,
99,0.0633904436514,,,,,,
