Time(Iteration),LinUCB
0,1.15301904726
1,2.27202610679
2,4.1612194468
3,5.95420479642
4,7.05211707585
5,9.02291215207
6,10.1858775326
7,11.3825516945
8,11.7928577439
9,12.9535049841
10,13.8917282304
11,14.2614180218
12,14.7212526772
13,15.1410199577
14,15.512372102
15,16.2001180755
16,16.9431879114
17,17.1063763066
18,17.8639510166
19,17.9450309223
20,18.0486987184
21,18.5357301613
22,19.0457189142
23,19.5621048581
24,20.1917660262
25,20.4968738317
26,20.7399978089
27,20.7917289454
28,20.910489449
29,20.981833251
30,21.1334199563
31,21.2363489957
32,21.5143111895
33,21.5143111895
34,21.5922676345
35,21.8292600688
36,21.8720927852
37,21.9170983238
38,21.9946220495
39,22.1275227418
40,22.2446651145
41,22.4645846783
42,22.6940338568
43,22.9014315932
44,22.9771999603
45,23.3984841544
46,23.4357532635
47,23.7134303476
48,23.7576591601
49,23.7919562913
50,23.8572064314
51,23.8999606103
52,24.0537560122
53,24.1122412222
54,24.2648847218
55,24.3750323232
56,24.403146527
57,24.424678734
58,24.4567232293
59,24.5278329984
60,24.7054962038
61,24.8354934874
62,25.0445935389
63,25.0614358334
64,25.1304926165
65,25.1773962699
66,25.1905955564
67,25.2767195731
68,25.3687793152
69,26.0409771428
70,26.3054589807
71,26.4498102216
72,26.4906564596
73,26.5620336101
74,26.5833713049
75,26.6145199104
76,26.6517517055
77,26.6819839233
78,26.7620605839
79,26.7620956298
80,26.8977473435
81,26.9167692719
82,27.0303568802
83,27.0932663827
84,27.0979936069
85,27.1496892376
86,27.1525985934
87,27.1525985934
88,27.2430607671
89,27.3025969221
90,27.3053869751
91,27.4050519863
92,27.4185465907
93,27.492646787
94,27.5120739393
95,27.5626850746
96,27.5999208573
97,27.5999208573
98,27.6246431922
99,27.627337902
