Time(Iteration),LinUCBCoTheta,,,,,,
0,0.737534838645,,,,,,
1,0.713447680795,,,,,,
2,0.690370676162,,,,,,
3,0.644860455593,,,,,,
4,0.636738437478,,,,,,
5,0.605240293421,,,,,,
6,0.583386436508,,,,,,
7,0.580923863085,,,,,,
8,0.563361032899,,,,,,
9,0.550365824424,,,,,,
10,0.509748095362,,,,,,
11,0.496305383145,,,,,,
12,0.487344190228,,,,,,
13,0.477122135275,,,,,,
14,0.460325894124,,,,,,
15,0.448108264246,,,,,,
16,0.440955834961,,,,,,
17,0.425409199967,,,,,,
18,0.412610414525,,,,,,
19,0.408451938222,,,,,,
20,0.406948116203,,,,,,
21,0.397835129747,,,,,,
22,0.394825952361,,,,,,
23,0.390169049105,,,,,,
24,0.387397578301,,,,,,
25,0.380131381054,,,,,,
26,0.376148338008,,,,,,
27,0.371794801635,,,,,,
28,0.369989976155,,,,,,
29,0.363416438017,,,,,,
30,0.349132948221,,,,,,
31,0.347837614922,,,,,,
32,0.334684838431,,,,,,
33,0.331791798443,,,,,,
34,0.328972061083,,,,,,
35,0.310343800326,,,,,,
36,0.306361446997,,,,,,
37,0.305472419817,,,,,,
38,0.30487941471,,,,,,
39,0.29633525363,,,,,,
40,0.290224618437,,,,,,
41,0.289967023263,,,,,,
42,0.288285455102,,,,,,
43,0.285529305409,,,,,,
44,0.269655803879,,,,,,
45,0.258714110773,,,,,,
46,0.256677083454,,,,,,
47,0.25577766598,,,,,,
48,0.252893136473,,,,,,
49,0.251660527445,,,,,,
50,0.246262774588,,,,,,
51,0.244310623323,,,,,,
52,0.239825833458,,,,,,
53,0.239798114253,,,,,,
54,0.238790159047,,,,,,
55,0.23650880333,,,,,,
56,0.23518556028,,,,,,
57,0.230537373204,,,,,,
58,0.230465575084,,,,,,
59,0.221083216575,,,,,,
60,0.210910236589,,,,,,
61,0.210943240143,,,,,,
62,0.209677860362,,,,,,
63,0.208760270802,,,,,,
64,0.204571913051,,,,,,
65,0.202933807187,,,,,,
66,0.197692475556,,,,,,
67,0.196448940921,,,,,,
68,0.19606203422,,,,,,
69,0.195080970622,,,,,,
70,0.19409202531,,,,,,
71,0.193421649788,,,,,,
72,0.192085235941,,,,,,
73,0.190592650774,,,,,,
74,0.190690412107,,,,,,
75,0.190355633863,,,,,,
76,0.189466363555,,,,,,
77,0.187922647475,,,,,,
78,0.187157086103,,,,,,
79,0.187233859079,,,,,,
80,0.186785358532,,,,,,
81,0.18355331562,,,,,,
82,0.183157219421,,,,,,
83,0.176387219064,,,,,,
84,0.176693223214,,,,,,
85,0.166142124137,,,,,,
86,0.164043363652,,,,,,
87,0.159555327116,,,,,,
88,0.159304073551,,,,,,
89,0.158720718187,,,,,,
90,0.158883744063,,,,,,
91,0.157859654446,,,,,,
92,0.157822274809,,,,,,
93,0.157538902137,,,,,,
94,0.156446858326,,,,,,
95,0.156161424247,,,,,,
96,0.155678522259,,,,,,
97,0.155346035268,,,,,,
98,0.154928967734,,,,,,
99,0.153118074186,,,,,,
