Time(Iteration),LinUCB
0,2.60961687404
1,4.79514940478
2,6.93127958877
3,7.6492181316
4,8.88946913839
5,9.57596625489
6,10.6008010391
7,11.4733891749
8,12.714696641
9,13.3979431471
10,14.4081510824
11,14.8735954499
12,15.4247033778
13,15.8660572955
14,16.3858476146
15,16.5598934233
16,17.3632568316
17,17.5895709871
18,17.7986972852
19,17.9155916925
20,18.2155819977
21,18.5389603497
22,18.7902146711
23,18.9533732052
24,19.0498329354
25,19.3194659257
26,19.580775101
27,19.936534117
28,20.3047965163
29,20.4214637989
30,20.6325071915
31,20.8107346447
32,21.2942618786
33,21.4293144802
34,21.7809639609
35,22.3012845673
36,22.4648115607
37,22.7070359895
38,22.8167261263
39,22.9330946552
40,23.1837050956
41,23.2974840646
42,23.6227017125
43,23.985098574
44,24.1232538323
45,24.691035862
46,24.6977885878
47,24.7153117196
48,24.9126198677
49,25.1145579109
50,25.2028002045
51,25.3442562475
52,25.4306074409
53,25.4391371681
54,25.4490128162
55,25.5783286162
56,25.7185067518
57,25.8163836335
58,26.0228717812
59,26.1209127006
60,26.2669879521
61,26.3493304238
62,26.4577137591
63,26.4577137591
64,26.5877580229
65,26.661812245
66,26.6817812464
67,26.7500548086
68,26.830278041
69,26.8457210801
70,26.931059337
71,27.1026325342
72,27.1266249708
73,27.18328624
74,27.1841070664
75,27.1854315059
76,27.3348861533
77,27.3809932846
78,27.4350825812
79,27.4974495396
80,27.4974495396
81,27.6135895665
82,27.6875366119
83,27.7994384381
84,27.8061942314
85,28.2327298132
86,28.2350584238
87,28.3950119028
88,28.432085222
89,28.4648308535
90,28.4653523264
91,28.4653523264
92,28.5027811351
93,28.5155495079
94,28.5373298281
95,28.5436229832
96,28.588303323
97,28.6627911435
98,28.7538061217
99,28.9219449183
